popularity,vote_count,release_year,cluster
124.582,26066,1994,1
199.537,19757,1972,1
129.056,11936,1974,1
108.254,15341,1993,1
69.908,8212,1957,2
109.368,15862,2001,1
35.669,4376,1995,0
113.725,31845,2008,1
96.983,17476,2019,1
135.823,16768,1999,1
77.799,10940,2016,1
323.158,27003,1994,1
124.372,23324,2003,1
158.453,26542,1994,1
76.752,8232,1966,2
213.006,12346,1990,1
0.6,5220,1988,2
37.819,4182,1988,2
52.101,3474,1954,2
66.326,12687,1997,1
17.934,350,2016,0
65.654,348,2023,0
16.666,303,2019,0
239.457,28437,1999,1
192.622,9704,1960,1
388.917,34210,2014,1
87.561,7043,2002,1
15.061,2391,2020,0
19.546,371,2021,0
28.21,663,2013,0
79.576,5152,1984,2
67.021,10077,1975,1
107.995,9403,2004,1
144.481,24278,2001,1
10.5,1500,2020,0
134.075,14945,2018,1
15.524,1054,2000,0
33.71,1043,2020,0
87.77,21090,2002,1
79.272,16396,1980,1
18.713,362,2018,0
21.225,920,1962,2
166.704,14574,2014,1
60.936,8826,2002,1
19.858,338,2019,0
50.626,3766,2016,0
289.313,20270,1995,1
240.73,6200,2023,1
382.253,35633,2010,1
50.956,327,2023,0
36.715,356,2022,0
68.575,6227,1954,2
19.618,15716,1991,1
89.995,11185,1998,1
81.772,7658,1997,1
0.6,1063,2011,0
77.614,3211,1940,2
10.64,494,2019,0
73.817,1489,1997,0
95.319,19234,1985,1
49.021,10778,1989,1
42.601,319,2023,0
78.954,2452,1950,2
24.961,824,1963,2
87.72,14280,1994,1
67.493,2448,1998,0
25.091,1051,1952,2
29.476,3552,1936,2
52.77,4115,1968,2
37.233,495,2022,0
35.144,2060,1931,2
82.91,7875,1979,1
104.839,16751,2011,1
50.998,1762,2020,0
37.138,388,1964,2
30.444,438,1960,2
64.234,4109,1946,2
18.02,374,2020,0
33.66,2743,1957,2
56.506,5416,2019,0
34.888,4307,2019,0
28.738,424,2020,0
27.176,2179,1998,0
1488.917,3480,2024,1
29.081,1357,1985,2
65.25,8272,2003,1
145.92,17650,1994,1
248.697,24806,2019,1
31.276,980,2020,0
35.311,391,2020,0
62.436,3859,2019,0
20.163,503,2019,0
29.977,754,2021,0
292.211,28815,2018,1
352.981,11126,2018,1
30.717,1409,2020,0
179.831,7219,2022,1
12.964,511,1974,2
28.934,2636,2014,0
79.079,3677,2020,0
82.295,3536,2016,0
31.354,2194,2012,0
36.688,1468,2018,0
155.499,8543,2022,1
155.521,21579,2009,1
15.256,333,2019,0
112.81,16877,1980,1
155.689,17784,2000,1
404.5,24810,1999,1
152.576,18739,2017,1
29.273,1308,1957,2
50.614,1110,2020,0
114.812,15255,1998,1
34.621,1414,2019,0
68.657,2162,1960,2
36.392,806,2019,0
49.271,12437,1971,1
197.309,7885,2011,1
170.718,15416,2006,1
73.997,1269,2021,0
424.405,19932,1977,1
84.271,23230,2010,1
23.387,680,1962,2
28.043,681,1940,2
27.415,2270,1948,2
56.93,1316,2020,0
23.789,2035,1966,2
29.93,2834,1957,2
25.343,599,2018,0
179.19,13250,2016,1
97.325,621,2022,0
19.194,453,2005,0
55.616,10022,1995,1
25.099,344,2019,0
31.169,981,2023,0
16.94,643,1983,2
73.439,14340,2000,1
18.864,726,2013,0
21.617,736,1970,2
37.064,1988,1921,2
11.187,464,2019,0
62.032,1112,2019,0
211.253,25514,2012,1
21.775,399,2019,0
29.085,992,1953,2
217.626,14382,2006,1
284.174,11318,1983,1
98.368,5491,1958,2
