Popularidad,Frecuencia
20.111,4
24.828,3
16.584,3
22.266,3
18.588,3
29.467,3
18.603,3
18.195,3
15.524,3
32.045,3
19.923,3
17.502,3
16.806,3
22.876,3
31.891,3
25.091,3
19.758,3
19.279,3
64.534,3
29.476,3
25.476,3
19.668,3
20.31,3
20.117,3
13.631,3
22.795,3
29.571,3
19.224,3
0.6,3
32.613,3
21.237,3
52.294,3
35.087,3
16.332,2
17.483,2
35.423,2
17.398,2
58.898,2
51.7,2
26.29,2
53.389,2
18.521,2
14.396,2
50.021,2
37.761,2
18.04,2
37.598,2
48.288,2
22.409,2
14.53,2
32.569,2
35.168,2
16.484,2
19.963,2
22.031,2
31.415,2
19.858,2
26.904,2
22.843,2
19.913,2
59.471,2
14.047,2
34.647,2
42.256,2
10.965,2
20.78,2
18.626,2
17.578,2
10.64,2
42.524,2
12.991,2
26.762,2
22.681,2
20.634,2
27.519,2
33.274,2
29.629,2
15.892,2
35.596,2
40.988,2
19.473,2
50.998,2
34.565,2
22.443,2
17.655,2
30.251,2
34.604,2
23.523,2
34.888,2
40.517,2
27.176,2
17.498,2
35.167,2
28.384,2
31.764,2
16.255,2
17.598,2
29.103,2
10.233,2
102.81,2
37.022,2
23.81,2
30.717,2
48.987,2
23.932,2
24.051,2
23.207,2
14.521,2
30.083,2
48.579,2
11.832,2
26.895,2
19.84,2
17.77,2
25.913,2
20.616,2
23.424,2
25.464,2
25.904,2
50.171,2
13.012,2
12.255,2
36.392,2
21.0,2
42.346,2
10.553,2
28.094,2
29.185,2
17.888,2
23.387,2
37.587,2
20.882,2
27.876,2
49.666,2
18.073,2
19.853,2
15.04,2
19.234,2
21.327,2
44.139,2
19.431,2
19.949,2
25.282,2
17.074,2
29.119,2
25.245,2
19.465,2
14.987,2
46.456,2
16.361,2
17.775,2
29.144,2
14.986,2
15.801,2
16.042,2
37.317,2
16.121,2
30.088,2
123.816,2
25.219,2
20.621,2
26.936,2
37.722,2
12.94,2
28.205,2
21.189,2
22.424,2
22.471,2
19.05,2
25.032,2
17.738,2
19.082,2
52.096,2
14.908,2
22.866,2
69.329,2
38.743,2
10.633,2
21.679,2
20.047,2
21.021,2
24.326,2
30.985,2
40.842,2
37.288,2
27.014,2
22.063,2
37.979,2
48.735,2
42.703,2
25.254,2
13.779,2
19.023,2
33.373,2
35.609,2
18.634,2
7.221,2
44.85,2
27.255,2
22.691,2
9.651,2
15.179,2
12.978,2
30.094,2
23.685,2
40.674,2
40.408,2
32.903,2
24.155,2
17.182,2
16.382,2
103.96,2
69.833,2
1347.411,2
35.203,2
7.635,2
21.839,2
29.286,2
21.973,2
23.607,2
18.241,2
18.602,2
7.375,2
17.997,2
18.585,2
27.926,2
24.448,2
27.814,2
35.12,2
28.634,2
21.269,2
22.502,2
23.702,2
41.751,2
15.457,2
22.847,2
27.016,2
19.379,2
33.113,2
48.018,2
21.801,2
38.824,2
14.14,2
23.734,2
33.516,2
31.282,2
25.613,2
21.899,2
54.291,2
25.122,2
57.163,2
14.154,2
48.672,2
20.042,2
29.616,2
8.844,2
45.1,2
22.273,2
22.578,2
16.544,2
17.022,2
33.797,2
26.012,2
50.739,2
16.436,2
30.595,2
14.058,2
13.476,2
24.289,2
24.889,2
29.806,2
12.789,2
29.357,2
49.99,2
37.794,2
26.226,2
27.553,2
36.363,2
35.07,2
17.977,2
32.812,2
11.266,2
16.969,2
29.873,2
34.944,2
8.7,2
36.722,2
16.826,2
21.222,2
18.96,2
23.628,2
19.245,2
25.141,2
47.61,2
35.47,2
11.323,2
31.959,2
16.158,2
44.641,2
20.237,2
38.358,2
17.685,2
43.177,2
22.109,2
17.057,2
17.799,2
40.713,2
50.072,2
15.793,2
