Idioma,Popularidad Promedio
ar,17.5075
bn,18.767
bs,13.226
cn,25.56891836734694
cs,18.575
da,31.81844444444444
de,29.35755421686747
el,22.243666666666666
en,51.64826094547408
es,30.75736904761905
et,17.349
eu,20.698
fa,16.4621
fi,46.59025
fr,24.07715905245347
ga,25.758
gl,34.546
he,12.449
hi,24.536461538461538
hu,23.1702
hy,7.753
id,26.0594
is,29.723
it,19.129828828828828
ja,35.815023255813955
km,28.012
ko,34.6449054054054
la,13.864
nb,38.075
nl,19.90811111111111
no,36.21042105263158
pl,31.87092857142857
pt,18.900866666666666
ro,14.459
ru,21.258380952380953
sh,16.784
sr,32.551
sv,23.75114705882353
te,41.40133333333333
th,24.402181818181816
tn,19.361
tr,19.4195
uk,76.08500000000001
zh,25.247905660377356
