popularity,vote_count
124.582,26066
199.537,19757
129.056,11936
108.254,15341
69.908,8212
109.368,15862
35.669,4376
113.725,31845
96.983,17476
135.823,16768
77.799,10940
323.158,27003
124.372,23324
158.453,26542
76.752,8232
213.006,12346
0.6,5220
37.819,4182
52.101,3474
66.326,12687
17.934,350
65.654,348
16.666,303
239.457,28437
192.622,9704
388.917,34210
87.561,7043
15.061,2391
19.546,371
28.21,663
79.576,5152
67.021,10077
107.995,9403
144.481,24278
10.5,1500
134.075,14945
15.524,1054
33.71,1043
87.77,21090
79.272,16396
18.713,362
21.225,920
166.704,14574
60.936,8826
19.858,338
50.626,3766
289.313,20270
240.73,6200
382.253,35633
50.956,327
36.715,356
68.575,6227
19.618,15716
89.995,11185
81.772,7658
0.6,1063
77.614,3211
10.64,494
73.817,1489
95.319,19234
49.021,10778
42.601,319
78.954,2452
24.961,824
87.72,14280
67.493,2448
25.091,1051
29.476,3552
52.77,4115
37.233,495
35.144,2060
82.91,7875
104.839,16751
50.998,1762
37.138,388
30.444,438
64.234,4109
18.02,374
33.66,2743
56.506,5416
34.888,4307
28.738,424
27.176,2179
1488.917,3480
29.081,1357
65.25,8272
145.92,17650
248.697,24806
31.276,980
35.311,391
62.436,3859
20.163,503
29.977,754
292.211,28815
352.981,11126
30.717,1409
179.831,7219
12.964,511
28.934,2636
79.079,3677
82.295,3536
31.354,2194
36.688,1468
155.499,8543
155.521,21579
15.256,333
112.81,16877
155.689,17784
404.5,24810
152.576,18739
29.273,1308
50.614,1110
114.812,15255
34.621,1414
68.657,2162
36.392,806
49.271,12437
197.309,7885
170.718,15416
73.997,1269
424.405,19932
84.271,23230
23.387,680
28.043,681
27.415,2270
56.93,1316
23.789,2035
29.93,2834
25.343,599
179.19,13250
97.325,621
19.194,453
55.616,10022
25.099,344
31.169,981
16.94,643
73.439,14340
18.864,726
21.617,736
37.064,1988
11.187,464
62.032,1112
211.253,25514
21.775,399
29.085,992
217.626,14382
284.174,11318
98.368,5491
109.287,9661
29.968,2021
445.021,24495
172.099,5188
46.243,2992
32.052,2170
22.733,1611
28.663,577
209.803,11799
46.119,1936
12.061,323
363.873,11735
364.31,13880
23.072,1568
76.45,11717
19.05,835
35.253,612
12.533,331
70.937,17650
52.096,2401
133.546,1480
76.713,7659
209.585,2597
19.159,680
27.116,2053
131.565,10042
71.723,10079
38.816,1057
56.278,2342
83.991,3010
111.762,13839
40.167,1546
51.885,5371
27.014,6322
66.561,4387
25.218,511
48.735,1703
10.081,341
53.173,2746
29.467,397
102.347,12331
601.563,7823
33.373,2540
32.883,1761
49.564,1340
7.221,463
25.317,1356
19.053,348
61.121,3969
47.141,1216
41.056,3323
42.304,2521
19.286,1454
110.363,1697
11.336,674
121.619,19928
78.151,14367
32.065,2087
70.487,11286
22.885,2057
12.47,381
66.401,3842
67.893,2106
120.524,18160
13.021,344
38.827,961
29.286,330
52.781,6328
109.842,7749
26.01,1676
24.255,444
75.905,332
341.701,11056
48.766,9775
25.82,6377
29.421,1454
27.814,596
72.233,7607
27.821,928
21.269,916
14.211,356
22.502,559
96.209,2504
35.562,3574
15.457,468
17.276,500
10.303,383
112.361,6608
68.824,9305
29.225,2303
40.438,1426
8.679,363
60.808,14337
23.734,549
37.623,890
26.734,3342
24.957,2036
12.628,1830
12.078,623
25.122,1256
81.689,4036
21.781,753
16.421,457
20.042,880
103.356,2141
322.136,5200
10.897,701
107.114,23184
22.578,730
16.544,347
29.226,358
145.724,8964
105.865,9152
50.298,8918
31.214,3494
47.702,3765
76.679,2478
46.173,1110
65.374,5908
23.863,9584
178.866,11676
27.758,2465
134.167,20857
7.324,334
14.008,306
54.614,2381
36.678,3648
74.604,5565
17.31,1369
7.7,983
37.91,324
313.018,5286
58.652,6455
17.486,838
45.795,2149
12.775,369
86.05,7526
80.601,16532
46.509,2681
64.779,2830
21.926,1515
24.171,2414
20.66,747
102.981,2842
42.343,2488
25.141,1666
18.77,875
14.748,381
30.745,1105
23.543,631
54.558,11904
36.6,10372
20.237,551
38.358,1678
27.51,958
45.66,2262
208.026,16440
11.82,642
25.685,495
93.903,1088
20.408,719
235.267,2476
114.352,3907
26.474,1430
26.643,891
47.982,3992
18.767,383
91.677,15092
24.302,300
14.451,535
21.545,1130
245.937,6683
165.9,6213
276.464,17810
25.257,479
69.057,3930
73.844,16806
24.07,996
56.212,9342
241.586,19328
27.483,1421
38.178,839
14.568,320
20.548,588
56.051,351
36.189,611
182.869,1166
9.237,313
8.673,2013
15.741,418
172.856,19575
45.028,2539
56.024,3871
13.903,333
80.997,9233
108.612,11233
82.405,540
19.259,347
25.555,575
18.714,505
130.324,4002
9.905,922
28.769,1715
54.802,15745
87.382,2085
36.82,2421
16.708,1490
39.78,10962
14.499,566
53.512,5337
93.158,9746
117.3,934
26.897,782
15.671,623
84.746,11490
113.105,9180
49.549,3390
25.079,986
22.609,411
91.918,4140
50.861,1888
19.503,530
77.715,13305
26.951,493
33.683,1103
20.31,666
20.117,491
21.708,384
27.004,630
26.473,8254
38.946,3215
79.39,1755
22.725,1699
25.239,1488
82.407,11989
20.122,535
126.232,11925
60.815,1768
16.279,649
26.73,1282
47.666,2787
10.602,573
29.897,1010
46.117,1671
104.551,4192
79.244,1238
23.936,1303
81.782,8140
38.103,1601
26.503,917
14.078,323
168.7,6960
315.26,3622
221.633,20269
37.02,1407
41.163,2112
155.429,26494
16.035,404
112.009,9285
49.554,6211
24.536,1189
38.727,1868
70.505,2728
79.951,11148
59.269,27377
24.767,1058
22.415,1342
227.934,24587
26.117,584
18.087,357
73.719,16284
63.975,9544
82.476,3285
20.117,747
9.377,418
58.898,14038
51.7,1164
11.296,2816
87.406,9125
172.736,15139
43.946,1320
27.053,1664
36.048,613
18.04,1643
17.692,424
22.67,1501
136.168,18044
23.917,336
91.481,2627
52.972,953
26.176,822
107.172,716
52.949,2138
99.23,11091
32.93,901
17.776,445
94.001,6020
21.32,347
57.52,1938
22.289,989
58.224,3024
33.32,1764
27.119,489
15.738,497
52.301,13401
153.578,4170
57.947,630
10.279,347
16.722,323
22.681,842
41.642,3220
111.501,7477
109.501,2196
29.629,1697
43.119,4254
22.801,1942
11.529,394
159.279,3560
78.11,6543
17.011,709
30.113,637
58.488,3664
211.593,7717
23.466,1009
20.927,388
17.498,474
57.157,440
19.236,686
39.406,594
17.009,462
130.205,13851
55.899,2320
84.821,9868
15.832,1226
18.039,753
161.118,2328
38.395,1047
35.511,503
28.126,2201
33.569,10324
17.023,467
15.596,650
21.611,413
250.144,5605
29.577,672
131.441,11795
21.922,792
60.549,1880
51.485,1822
47.678,4035
23.424,466
52.425,4666
13.94,789
17.251,670
70.344,9744
12.255,324
21.0,398
42.346,872
52.002,4352
46.713,3993
54.26,10804
17.888,623
183.996,17846
19.344,368
26.893,504
68.431,6887
31.521,828
17.037,488
30.724,663
16.261,461
53.002,9066
57.329,2997
24.751,917
26.087,563
33.941,2824
111.213,8057
57.673,6057
29.119,763
24.194,1503
57.759,301
35.871,302
28.258,2752
28.332,1171
34.675,1984
59.131,3866
27.583,3723
13.477,521
65.501,1083
16.432,814
10.999,345
74.462,12558
9.604,448
56.125,1620
20.621,912
165.6,18677
264.897,494
25.125,612
25.319,799
62.141,5678
31.164,1554
44.978,3225
30.98,778
169.299,16422
21.328,466
17.374,324
14.938,570
91.7,5943
159.616,757
82.57,8001
412.05,18638
123.736,20047
21.125,807
30.984,578
21.021,1293
112.513,8687
69.581,1003
35.239,1784
22.028,1088
11.789,1154
14.384,301
41.387,1121
47.955,9288
50.073,2272
150.307,477
96.932,1256
14.424,323
44.509,5538
31.917,367
11.752,628
9.651,339
15.179,1340
12.978,456
132.585,19937
12.657,943
33.204,2402
39.264,3129
13.343,393
106.543,6682
33.777,3310
21.912,843
36.109,603
38.043,5161
23.484,611
15.0,473
1.645,368
89.016,14214
34.333,2168
322.807,3227
27.627,755
140.669,1609
71.585,6012
540.623,11444
44.051,10152
41.415,371
43.473,4713
44.281,364
35.342,472
21.021,987
28.024,811
12.166,1837
22.486,373
45.493,976
17.474,650
322.212,7507
32.647,3223
91.755,3742
125.244,10720
