title,release_date,genres,original_language,popularity,vote_count,vote_average
The Shawshank Redemption,1994-09-23,"Drama, Crime",en,124.582,26066,8.703
The Godfather,1972-03-14,"Drama, Crime",en,199.537,19757,8.695
The Godfather Part II,1974-12-20,"Drama, Crime",en,129.056,11936,8.577
Schindler's List,1993-12-15,"Drama, History, War",en,108.254,15341,8.567
12 Angry Men,1957-04-10,Drama,en,69.908,8212,8.5
Spirited Away,2001-07-20,"Animation, Family, Fantasy",ja,109.368,15862,8.537
Dilwale Dulhania Le Jayenge,1995-10-20,"Comedy, Drama, Romance",hi,35.669,4376,8.536
The Dark Knight,2008-07-16,"Drama, Action, Crime, Thriller",en,113.725,31845,8.5
Parasite,2019-05-30,"Comedy, Thriller, Drama",ko,96.983,17476,8.51
The Green Mile,1999-12-10,"Fantasy, Drama, Crime",en,135.823,16768,8.506
Your Name.,2016-08-26,"Animation, Romance, Drama",ja,77.799,10940,8.5
Pulp Fiction,1994-09-10,"Thriller, Crime",en,323.158,27003,8.489
The Lord of the Rings: The Return of the King,2003-12-01,"Adventure, Fantasy, Action",en,124.372,23324,8.479
Forrest Gump,1994-06-23,"Comedy, Drama, Romance",en,158.453,26542,8.475
"The Good, the Bad and the Ugly",1966-12-22,Western,it,76.752,8232,8.5
GoodFellas,1990-09-12,"Drama, Crime",en,213.006,12346,8.466
Grave of the Fireflies,1988-04-16,"Animation, Drama, War",ja,0.6,5220,8.464
Cinema Paradiso,1988-11-17,"Drama, Romance",it,37.819,4182,8.453
Seven Samurai,1954-04-26,"Action, Drama",ja,52.101,3474,8.453
Life Is Beautiful,1997-12-20,"Comedy, Drama",it,66.326,12687,8.451
Dou kyu sei – Classmates,2016-02-20,"Romance, Animation",ja,17.934,350,8.447
Radical,2023-10-19,Drama,en,65.654,348,8.443
Primal: Tales of Savagery,2019-11-21,"Action, Adventure, Animation, Drama",en,16.666,303,8.4
Fight Club,1999-10-15,Drama,en,239.457,28437,8.442
Psycho,1960-06-22,"Horror, Thriller, Mystery",en,192.622,9704,8.434
Interstellar,2014-11-05,"Adventure, Drama, Science Fiction",en,388.917,34210,8.433
City of God,2002-08-30,"Drama, Crime",pt,87.561,7043,8.428
Gabriel's Inferno,2020-05-29,"Romance, Drama",en,15.061,2391,8.4
Impossible Things,2021-06-17,"Family, Drama",es,19.546,371,8.4
Hope,2013-10-02,Drama,ko,28.21,663,8.425
Once Upon a Time in America,1984-05-23,"Drama, Crime",en,79.576,5152,8.422
One Flew Over the Cuckoo's Nest,1975-11-19,Drama,en,67.021,10077,8.4
Howl's Moving Castle,2004-09-09,"Fantasy, Animation, Adventure",ja,107.995,9403,8.412
The Lord of the Rings: The Fellowship of the Ring,2001-12-18,"Adventure, Fantasy, Action",en,144.481,24278,8.4
Gabriel's Inferno: Part II,2020-07-31,"Romance, Drama",en,10.5,1500,8.4
Spider-Man: Into the Spider-Verse,2018-12-06,"Animation, Action, Adventure, Science Fiction",en,134.075,14945,8.405
A Dog's Will,2000-09-15,"Comedy, Drama, Fantasy",pt,15.524,1054,8.398
Gabriel's Inferno: Part III,2020-11-19,"Romance, Drama",en,33.71,1043,8.4
The Lord of the Rings: The Two Towers,2002-12-18,"Adventure, Fantasy, Action",en,87.77,21090,8.4
The Empire Strikes Back,1980-05-20,"Adventure, Action, Science Fiction",en,79.272,16396,8.4
Taylor Swift: Reputation Stadium Tour,2018-12-31,Music,en,18.713,362,8.4
Harakiri,1962-09-15,"Action, Drama, History",ja,21.225,920,8.385
Whiplash,2014-10-10,"Drama, Music",en,166.704,14574,8.4
The Pianist,2002-09-17,"Drama, War",en,60.936,8826,8.383
The Legend of Hei,2019-08-27,"Animation, Fantasy, Action",zh,19.858,338,8.38
A Silent Voice: The Movie,2016-09-17,"Animation, Drama",ja,50.626,3766,8.38
Se7en,1995-09-22,"Crime, Mystery, Thriller",en,289.313,20270,8.4
Spider-Man: Across the Spider-Verse,2023-05-31,"Animation, Action, Adventure, Science Fiction",en,240.73,6200,8.369
Inception,2010-07-15,"Action, Science Fiction, Adventure",en,382.253,35633,8.367
TAYLOR SWIFT | THE ERAS TOUR,2023-10-13,Music,en,50.956,327,8.364
The Quintessential Quintuplets Movie,2022-05-20,"Animation, Comedy, Romance",ja,36.715,356,8.358
Rear Window,1954-08-01,"Thriller, Mystery",en,68.575,6227,8.4
The Silence of the Lambs,1991-02-14,"Crime, Drama, Thriller",en,19.618,15716,8.3
American History X,1998-07-01,Drama,en,89.995,11185,8.347
Princess Mononoke,1997-07-12,"Adventure, Fantasy, Animation",ja,81.772,7658,8.3
Hotarubi no Mori e,2011-09-17,"Romance, Animation, Fantasy",ja,0.6,1063,8.324
The Great Dictator,1940-10-15,"Comedy, War",en,77.614,3211,8.323
Dedicated to my ex,2019-11-01,"Drama, Comedy",es,10.64,494,8.3
Neon Genesis Evangelion: The End of Evangelion,1997-07-19,"Animation, Science Fiction, Action, Drama",ja,73.817,1489,8.3
